Name,Address 1,Address 2,City,Zip,Inspection Date,Inspection Results,Food from Approved Source (C),Food Protected from Contamination (C),Ill Workers Restricted (C),Proper Hand Washing (C),Cooling Time and Temperature (C),Cold Holding Temperature (C),Hot Holding Temperature (C),Cooking Time and Temperature (C),Reheating Time and Temperature (C),Hot and Cold Running Water Provided (C),Proper Sewage Disposal (C),Toxic Substances & Pesticides,Rodent and Insects,Nutritional Labeling,Trans Fat Ban,No-Smoking Sign Posted,Inspection Type,Owner,Category,Type,Latitude,Longitude,Location
CHIPOTLE MEXICAN GRILL #1334,19881 CENTURY BLVD,,GERMANTOWN,20874,12/15/2021,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Complaint Invest w/Comprehensive,"CHIPOTLE MEXICAN GRILL OF COLORADO, LLC.",Restaurant,Food,39.1826,-77.2639,"(39.1826, -77.2639)"
CHIPOTLE MEXICAN GRILL #2055,11160 VEIRS MILL RD,SPACE P208C,SILVER SPRING,20902,03/21/2022,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,CHOPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.037,-77.0539,"(39.037, -77.0539)"
CHIPOTLE MEXICAN GRILL #2388,7101 DEMOCRACY BLVD,SPACE #FC17,BETHESDA,20814,12/15/2022,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.0221,-77.1471,"(39.0221, -77.1471)"
CHIPOTLE MEXICAN GRILL #1439,10526 CONNECTICUT AVE.,,KENSINGTON,20895,06/27/2022,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,"CHIPOTLE MEXICAN GRILL OF COLORADO, LLC.",Restaurant,Food,39.0279,-77.0768,"(39.0279, -77.0768)"
CHIPOTLE MEXICAN GRILL #1439,10526 CONNECTICUT AVE.,,KENSINGTON,20895,12/21/2022,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring w/Complaint Investigation,"CHIPOTLE MEXICAN GRILL OF COLORADO, LLC.",Restaurant,Food,39.0279,-77.0768,"(39.0279, -77.0768)"
CHIPOTLE MEXICAN GRILL #1225,10400 OLD GEORGETOWN RD,,BETHESDA,20817,08/26/2022,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,Out of Compliance,In Compliance,Monitoring,"CHIPOTLE MEXICAN GRILL OF COLORADO, LLC.",Restaurant,Food,39.0263,-77.1276,"(39.0263, -77.1276)"
CHIPOTLE MEXICAN GRILL #2130,10116 RIVER RD,STE B,POTOMAC,20854,01/20/2022,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.0164,-77.209,"(39.0164, -77.209)"
CHIPOTLE MEXICAN GRILL #0044,7600 OLD GEORGETOWN RD.,,BETHESDA,20814,02/01/2022,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,38.9858,-77.0964,"(38.9858, -77.0964)"
CHIPOTLE MEXICAN GRILL #0103,564 N. FREDERICK AVE.,,GAITHERSBURG,20877,06/14/2023,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,Restaurant,Food,39.1484,-77.2101,"(39.1484, -77.2101)"
CHIPOTLE MEXICAN GRILL,13801 OUTLET DR,,SILVER SPRING,20904,03/07/2023,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Pre-Opening - Environmental,CHIPOTLE MEXICAN GRILL OF COLOARADO LLC,Restaurant,Food,39.0822,-76.9468,"(39.0822, -76.9468)"
