"date","convenience_store","store","county_number","county","category","category_name","vendor_no","vendor","item","description","pack","liter_size","state_btl_cost","btl_price","bottle_qty","total"
"2014-11-13 00:00:00","",3624,"50","Jasper","1012100","CANADIAN WHISKIES","115","Constellation Wine Company Inc.",11776,"Black Velvet",12,750,"$5.23","$7.85",12,94.20
"2014-11-13 00:00:00","",3624,"50","Jasper","1012100","CANADIAN WHISKIES","115","Constellation Wine Company Inc.",11786,"Black Velvet Traveler",12,750,"$5.23","$7.85",12,94.20
"2014-11-13 00:00:00","",3624,"50","Jasper","1012100","CANADIAN WHISKIES","115","Constellation Wine Company Inc.",11788,"Black Velvet",6,1750,"$9.70","$14.93",18,268.74
"2014-11-13 00:00:00","",3624,"50","Jasper","1012100","CANADIAN WHISKIES","55","Sazerac North America",12408,"Canadian Ltd Whisky",6,1750,"$7.94","$12.51",12,150.12
"2014-11-13 00:00:00","",3624,"50","Jasper","1012300","IRISH WHISKIES","370","Pernod Ricard USA/Austin Nichols",15626,"Jameson",12,750,"$14.49","$21.74",12,260.88
"2014-11-13 00:00:00","",3624,"50","Jasper","1011200","STRAIGHT BOURBON WHISKIES","65","Jim Beam Brands",20248,"Old Crow",6,1750,"$9.44","$14.16",12,169.92
"2014-11-13 00:00:00","",3624,"50","Jasper","1011100","BLENDED WHISKIES","260","Diageo Americas",25608,"Seagrams 7 Crown Bl Whiskey",6,1750,"$11.96","$17.94",18,322.92
"2014-11-13 00:00:00","",3624,"50","Jasper","1011300","TENNESSEE WHISKIES","85","Brown-Forman Corporation",26826,"Jack Daniels Old #7 Black Lbl",12,750,"$14.53","$21.80",24,523.20
"2014-11-13 00:00:00","",3624,"50","Jasper","1011300","TENNESSEE WHISKIES","85","Brown-Forman Corporation",26828,"Jack Daniels Old #7 Black Lbl",6,1750,"$28.69","$43.04",6,258.24
"2014-11-13 00:00:00","",3624,"50","Jasper","1011500","STRAIGHT RYE WHISKIES","255","Wilson Daniels Ltd.",27102,"Templeton Rye",6,750,"$18.09","$27.14",6,162.84
"2014-11-13 00:00:00","",3624,"50","Jasper","1041100","AMERICAN DRY GINS","434","Luxco-St Louis",31658,"Paramount Gin",6,1750,"$7.11","$10.67",6,64.02
"2014-11-13 00:00:00","",3624,"50","Jasper","1031080","80 PROOF VODKA","297","Laird And Company",35916,"Five O'clock Vodka",12,750,"$3.37","$5.06",12,60.72
"2014-11-13 00:00:00","",3624,"50","Jasper","1031080","80 PROOF VODKA","434","Luxco-St Louis",36308,"Hawkeye Vodka",6,1750,"$7.17","$10.76",42,451.92
"2014-11-13 00:00:00","",3624,"50","Jasper","1031080","80 PROOF VODKA","260","Diageo Americas",37996,"Smirnoff Vodka 80 Prf",12,750,"$8.25","$12.38",12,148.56
"2014-11-13 00:00:00","",3624,"50","Jasper","1031080","80 PROOF VODKA","260","Diageo Americas",38008,"Smirnoff Vodka 80 Prf Pet",6,1750,"$14.75","$22.13",12,265.56
"2014-11-13 00:00:00","",3624,"50","Jasper","1062300","FLAVORED RUM","370","Pernod Ricard USA/Austin Nichols",42716,"Malibu Coconut Rum",12,750,"$7.49","$11.24",12,134.88
"2014-11-13 00:00:00","",3624,"50","Jasper","1062310","SPICED RUM","259","Heaven Hill Distilleries Inc.",43028,"Admiral Nelson Spiced Rum",6,1750,"$11.55","$17.33",6,103.98
"2014-11-13 00:00:00","",3624,"50","Jasper","1062200","PUERTO RICO & VIRGIN ISLANDS RUM","35","Bacardi U.S.A. Inc.",43128,"Bacardi Superior Rum",6,1750,"$13.50","$21.00",6,126.00
"2014-11-13 00:00:00","",3624,"50","Jasper","1062310","SPICED RUM","260","Diageo Americas",43285,"Captain Morgan Original Spiced Rum Pet",12,750,"$9.00","$13.50",12,162.00
"2014-11-13 00:00:00","",3624,"50","Jasper","1062310","SPICED RUM","260","Diageo Americas",43336,"Captain Morgan Original Spiced",12,750,"$9.00","$13.50",12,162.00
"2014-11-13 00:00:00","",3624,"50","Jasper","1062200","PUERTO RICO & VIRGIN ISLANDS RUM","434","Luxco-St Louis",45278,"Paramount White Rum",6,1750,"$7.84","$11.76",18,211.68
"2014-11-13 00:00:00","",3624,"50","Jasper","1051010","AMERICAN GRAPE BRANDIES","205","E AND J GALLO WINERY",52596,"E & J Vs",12,750,"$5.92","$8.88",12,106.56
"2014-11-13 00:00:00","",3624,"50","Jasper","1071100","AMERICAN COCKTAILS","395","Proximo",58838,"Jose Cuervo Authentic Lime Margarita",6,1750,"$8.20","$12.30",6,73.80
"2014-11-13 00:00:00","",3624,"50","Jasper","1081600","WHISKEY LIQUEUR","421","Sazerac Co. Inc.",64866,"Fireball Cinnamon Whiskey",12,750,"$8.98","$13.47",12,161.64
"2014-11-13 00:00:00","",3624,"50","Jasper","1081200","CREAM LIQUEURS","260","Diageo Americas",68036,"Bailey's Original Irish Cream",12,750,"$13.25","$19.88",24,477.12
"2014-11-13 00:00:00","",3624,"50","Jasper","1081010","AMERICAN AMARETTO","434","Luxco-St Louis",76486,"Paramount Amaretto",12,750,"$3.38","$5.07",12,60.84
"2014-11-13 00:00:00","",3624,"50","Jasper","1081330","PEACH SCHNAPPS","65","Jim Beam Brands",82846,"Dekuyper Luscious Peachtree Schnapps",12,750,"$6.30","$9.45",12,113.40
"2014-11-13 00:00:00","",3624,"50","Jasper","1011300","TENNESSEE WHISKIES","85","Brown-Forman Corporation",86670,"Jack Daniel's Tennessee Honey",12,750,"$14.53","$21.80",12,261.60
"2014-11-13 00:00:00","",3647,"23","Clinton","1012100","CANADIAN WHISKIES","260","Diageo Americas",11296,"Crown Royal",12,750,"$15.00","$22.50",24,540.00
"2014-11-13 00:00:00","",3647,"23","Clinton","1012100","CANADIAN WHISKIES","115","Constellation Wine Company Inc.",11776,"Black Velvet",12,750,"$5.23","$7.85",12,94.20
"2014-11-13 00:00:00","",3647,"23","Clinton","1012100","CANADIAN WHISKIES","115","Constellation Wine Company Inc.",11788,"Black Velvet",6,1750,"$9.70","$14.93",12,179.16
"2014-11-13 00:00:00","",3647,"23","Clinton","1012300","IRISH WHISKIES","370","Pernod Ricard USA/Austin Nichols",15626,"Jameson",12,750,"$14.49","$21.74",12,260.88
"2014-11-13 00:00:00","",3647,"23","Clinton","1011200","STRAIGHT BOURBON WHISKIES","65","Jim Beam Brands",19068,"Jim Beam",6,1750,"$19.94","$29.91",6,179.46
"2014-11-13 00:00:00","",3647,"23","Clinton","1011200","STRAIGHT BOURBON WHISKIES","65","Jim Beam Brands",20248,"Old Crow",6,1750,"$9.44","$14.16",18,254.88
"2014-11-13 00:00:00","",3647,"23","Clinton","1011200","STRAIGHT BOURBON WHISKIES","55","Sazerac North America",21598,"Ten High",6,1750,"$9.24","$13.86",6,83.16
"2014-11-13 00:00:00","",3647,"23","Clinton","1011100","BLENDED WHISKIES","434","Luxco-St Louis",24158,"Hawkeye Blend Whiskey",6,1750,"$7.62","$11.43",30,342.90
"2014-11-13 00:00:00","",3647,"23","Clinton","1011100","BLENDED WHISKIES","260","Diageo Americas",25608,"Seagrams 7 Crown Bl Whiskey",6,1750,"$11.96","$17.94",12,215.28
"2014-11-13 00:00:00","",3647,"23","Clinton","1011300","TENNESSEE WHISKIES","85","Brown-Forman Corporation",26826,"Jack Daniels Old #7 Black Lbl",12,750,"$14.53","$21.80",12,261.60
"2014-11-13 00:00:00","",3647,"23","Clinton","1032080","IMPORTED VODKA","370","Pernod Ricard USA/Austin Nichols",34008,"Absolut Swedish Vodka 80 Prf",6,1750,"$19.99","$29.99",18,539.82
"2014-11-13 00:00:00","",3647,"23","Clinton","1032080","IMPORTED VODKA","65","Jim Beam Brands",34578,"Pinnacle Vodka",6,1750,"$11.08","$17.12",12,205.44
"2014-11-13 00:00:00","",3647,"23","Clinton","1032080","IMPORTED VODKA","115","Constellation Wine Company Inc.",34820,"Svedka Vodka",12,750,"$8.25","$12.38",12,148.56
"2014-11-13 00:00:00","",3647,"23","Clinton","1031080","80 PROOF VODKA","297","Laird And Company",35916,"Five O'clock Vodka",12,750,"$3.37","$5.06",48,242.88
"2014-11-13 00:00:00","",3647,"23","Clinton","1031080","80 PROOF VODKA","297","Laird And Company",35918,"Five O'clock Vodka",6,1750,"$7.20","$10.80",78,842.40
"2014-11-13 00:00:00","",3647,"23","Clinton","1031080","80 PROOF VODKA","434","Luxco-St Louis",36306,"Hawkeye Vodka",12,750,"$3.34","$5.01",96,480.96
"2014-11-13 00:00:00","",3647,"23","Clinton","1031080","80 PROOF VODKA","434","Luxco-St Louis",36308,"Hawkeye Vodka",6,1750,"$7.17","$10.76",90,968.40
"2014-11-13 00:00:00","",3647,"23","Clinton","1031080","80 PROOF VODKA","300","Mccormick Distilling Company",36908,"Mccormick Vodka Pet",6,1750,"$7.47","$11.21",36,403.56
"2014-11-13 00:00:00","",3647,"23","Clinton","1031080","80 PROOF VODKA","380","Phillips Beverage Company",37348,"Phillips Vodka",6,1750,"$7.60","$11.40",12,136.80
"2014-11-13 00:00:00","",3647,"23","Clinton","1031080","80 PROOF VODKA","255","Wilson Daniels Ltd.",37888,"Seagrams Vodka",6,1750,"$10.00","$15.00",12,180.00
"2014-11-13 00:00:00","",3647,"23","Clinton","1031080","80 PROOF VODKA","260","Diageo Americas",37996,"Smirnoff Vodka 80 Prf",12,750,"$8.25","$12.38",12,148.56
"2014-11-13 00:00:00","",3647,"23","Clinton","1031080","80 PROOF VODKA","260","Diageo Americas",38006,"Smirnoff Vodka Traveller",12,750,"$8.25","$12.38",36,445.68
"2014-11-13 00:00:00","",3647,"23","Clinton","1031080","80 PROOF VODKA","260","Diageo Americas",38008,"Smirnoff Vodka 80 Prf Pet",6,1750,"$14.75","$22.13",18,398.34
"2014-11-13 00:00:00","",3647,"23","Clinton","1031200","FLAVORED VODKA","380","Phillips Beverage Company",41692,"Uv Blue (raspberry) Vodka",6,1750,"$10.99","$16.49",12,197.88
"2014-11-13 00:00:00","",3647,"23","Clinton","1101100","AMERICAN ALCOHOL","434","Luxco-St Louis",41846,"Everclear Alcohol",12,750,"$9.00","$13.50",60,810.00
"2014-11-13 00:00:00","",3647,"23","Clinton","1062310","SPICED RUM","259","Heaven Hill Distilleries Inc.",43028,"Admiral Nelson Spiced Rum",6,1750,"$11.55","$17.33",12,207.96
"2014-11-13 00:00:00","",3647,"23","Clinton","1062310","SPICED RUM","35","Bacardi U.S.A. Inc.",43205,"Bacardi Oakheart",12,750,"$6.75","$10.50",12,126.00
"2014-11-13 00:00:00","",3647,"23","Clinton","1062310","SPICED RUM","260","Diageo Americas",43285,"Captain Morgan Original Spiced Rum Pet",12,750,"$9.00","$13.50",24,324.00
"2014-11-13 00:00:00","",3647,"23","Clinton","1062200","PUERTO RICO & VIRGIN ISLANDS RUM","434","Luxco-St Louis",45278,"Paramount White Rum",6,1750,"$7.84","$11.76",18,211.68
"2014-11-13 00:00:00","",3647,"23","Clinton","1062310","SPICED RUM","240","WILLIAM GRANT AND SONS INC.",45888,"Sailor Jerry Spiced Navy Rum",6,1750,"$19.25","$28.88",6,173.28
"2014-11-13 00:00:00","",3647,"23","Clinton","1062200","PUERTO RICO & VIRGIN ISLANDS RUM","434","Luxco-St Louis",46350,"Hawkeye Light Rum",6,1750,"$7.67","$11.51",24,276.24
"2014-11-13 00:00:00","",3647,"23","Clinton","1051010","AMERICAN GRAPE BRANDIES","259","Heaven Hill Distilleries Inc.",52316,"Christian Bros Brandy",12,750,"$5.92","$8.88",12,106.56
