2309,J and K Market,I,"N. Side Square
Centerville, IA 525440000
(40.732520167000075, -92.86563586799997)",
2327,West Side Spirits,A,"801 Hull St
Corning, IA 508410000
(40.99010300800006, -94.74355805599998)",
2335,Schleswig's Schnapps Haus,I,"203 Cedar St
Schleswig, IA 514610000
(42.16534711600008, -95.43652389899995)",
2339,Monte Spirits and Provision,I,"325 E Main
Montezuma, IA 501710000
(41.58539783600003, -92.52450243399994)",
2341,Kuennen's Liquor Store,I,"317-319 State St
Saint Lucas, IA 521660000
(43.06662049800008, -91.93424794999999)",
2353,Cresco Liquor Store,A,"708 2nd Ave Se
Cresco, IA 521360000
(43.37113686200007, -92.10647060099996)",
2360,"The Cue, Inc.",I,"1404 Main
Rock Valley, IA 512470000
(43.204238959000065, -96.29487224299999)",
2364,Main Street Spirits,I,"311 Main Street
Mapleton, IA 510340000
(42.16591691600007, -95.79378047499995)",
2367,Spencer's Grocery,A,"101 South Burnett
Shenandoah, IA 516010000
(40.765802103000055, -95.38187283899998)",
2373,Wine and Spirits Shoppe,I,"111 S Phillips
Algona, IA 505110000
(43.068694347000076, -94.22682044999999)",
2384,Urban Liquor and Convenience,I,"6401 Douglas Ave Ste 1
Urbandale, IA 503220000
(41.62942833000005, -93.70550014199995)",
2390,Uptown Liquors,I,"306 Hwy 69 South
Forest City, IA 504360000
(43.26193045200006, -93.63317325299994)",
2397,Cr Liquor,I,"Hwy 141
Coon Rapids, IA 500580000
(41.876919549000036, -94.70792025699996)",
2399,Quik Mart / Lake View,I,"406 Main St
Lake View, IA 514500000
(42.30710024500007, -95.05165337199998)",
2413,Beecher Beverage,A,"1691 Asbury Road
Dubuque, IA 520010000
(42.50079106000004, -90.69694188099999)",
2419,Oky Doky #6,I,"1256 Iowa St
Dubuque, IA 520010000
(42.50487384400003, -90.66805330399995)",
2421,Drake Liquor Store,I,"1616 37 St
Des Moines, IA 503100000
(41.60824132400006, -93.66691713799997)",
