904750,IMPORTED VODKA,Boomerang Vodka,186,Foley Family Wines Inc.,1000,12,1,,80,2010-03-19 00:00:00,,10090400000000,$6.93,10.40,83.11
904751,STRAIGHT RYE WHISKIES,Michter's Us*1 Sb Rye,287,Chatham Importsinc,750,6,1,,85,2010-02-22 00:00:00,,,$23.45,35.18,140.70
904752,MISCELLANEOUS SCHNAPPS,99 Black Cherries,55,Sazerac North America,750,12,1,,99,2010-04-22 00:00:00,,,$9.35,14.03,112.24
904753,FLAVORED VODKA,Burnett's Pomegranate,259,Heaven Hill Distilleries Inc.,750,12,1,,70,2010-04-27 00:00:00,,904753,$4.83,7.25,58.00
904754,TEQUILA,El Mayor Extra Anejo 100% Agave HA,434,Luxco-st Louis,750,6,1,,80,2010-04-22 00:00:00,88352125176,10088400000000,$61.88,92.82,371.26
904755,SINGLE MALT SCOTCH,Glendronach 12yo,391,Anchor Distilling (preiss Imports),750,1,1,,86,2009-12-09 00:00:00,87229170202,904755,$42.00,63.00,42.00
904756,MISC. IMPORTED CORDIALS & LIQUEURS,Faretti Biscotti,287,Chatham Importsinc,750,6,1,,56,2009-02-23 00:00:00,,40039400000000,$20.17,30.26,121.00
904757,IRISH WHISKIES,Danny Boy Irish Whiskey,477,Total Beverage Solutions,750,12,1,,80,2010-04-23 00:00:00,,,$13.83,20.75,166.00
904758,CANADIAN WHISKIES,Campbell & Cooper Canadian Whiskey,198,Frank-lin Distillers Products Ltd.,750,12,1,,86,2010-04-28 00:00:00,,,$9.48,14.22,113.70
904759,FLAVORED VODKA,Burnett's Strawberry,259,Heaven Hill Distilleries Inc.,750,12,1,,70,2010-04-28 00:00:00,,10096700000000,$4.83,7.25,58.00
904760,FLAVORED VODKA,Burnett's Sour Apple,259,Heaven Hill Distilleries Inc.,750,12,1,,70,2010-04-27 00:00:00,,10096700000000,$4.83,7.25,58.00
904761,FLAVORED VODKA,Burnett's Mango,259,Heaven Hill Distilleries Inc.,750,12,1,,70,2010-04-28 00:00:00,,10096700000000,$4.83,7.25,58.00
904762,CANADIAN WHISKIES,Canadian Regency Light,350,Luxco-cleveland,1750,6,1,,60,2010-04-28 00:00:00,86816642023,10086800000000,$7.78,11.67,46.65
904763,TEQUILA,Don Julio Reposado,260,Diageo Americas,375,12,1,,80,2009-08-11 00:00:00,,10674500000000,$13.99,20.99,167.93
904764,FLAVORED VODKA,Firefly Lemon Tea Vodka,421,Sazerac Co. Inc.,750,12,1,,70,2010-04-29 00:00:00,,10897300000000,$10.00,15.00,119.96
904765,IMPORTED VODKA,Alchemia Chocolate Vodka,305,Mhw Ltd,750,6,1,,80,2010-04-30 00:00:00,,10894500000000,$13.00,19.50,78.00
904766,IMPORTED VODKA,X Rated Vodka(dno),461,Campari(skyy),750,6,1,,80,2009-05-01 00:00:00,,,$17.14,25.71,102.82
904767,SINGLE MALT SCOTCH,Springbank 18yr,391,Anchor Distilling (preiss Imports),750,6,1,,92,2010-04-30 00:00:00,,,$86.50,129.75,519.00
904768,MISCELLANEOUS SCHNAPPS,Ice Hole Plum Schnapps,380,Phillips Beverage Company,1000,12,1,,80,2010-05-06 00:00:00,,904768,$6.75,10.13,81.00
904769,FLAVORED VODKA,Burnett's Sweet Tea Vodka,259,Heaven Hill Distilleries Inc.,750,12,1,,60,2010-05-06 00:00:00,,10096700000000,$4.83,7.25,58.00
904770,FLAVORED VODKA,Burnett's Fruit Punch,259,Heaven Hill Distilleries Inc.,750,12,1,,70,2010-04-28 00:00:00,,,$4.55,6.83,54.55
904771,FLAVORED VODKA,Jeremiah Weed Sweet Tea Mini,260,Diageo Americas,502,120,1,,70,2009-05-28 00:00:00,,,$0.45,0.68,54.34
904772,IMPORTED VODKA,Belvedere Black Raspberry,420,Moet Hennessy Usa Inc.,750,6,1,,80,2010-05-07 00:00:00,,10081800000000,$17.15,25.73,102.90
904773,IMPORTED VODKA,Vikingfjord Vodka,761,Capstone International Inc,1750,6,1,,80,2010-05-12 00:00:00,,,$13.25,19.88,79.50
904774,FLAVORED VODKA,James River Plantation Sweet Tea,305,Mhw Ltd,750,12,1,,70,2010-05-28 00:00:00,,10890400000000,$9.92,14.88,119.00
904775,FLAVORED VODKA,Paramount Cherry Vodka,350,Luxco-cleveland,750,12,1,,65,2009-05-15 00:00:00,,,$4.83,7.25,58.00
904776,IMPORTED VODKA,Kai Vodka,305,Mhw Ltd,750,6,1,,80,2009-05-14 00:00:00,,,$17.17,25.76,103.00
904777,FLAVORED RUM,Cruzan Guava Rum,65,Jim Beam Brands,750,12,1,,55,2010-06-01 00:00:00,,10080700000000,$6.83,10.25,81.96
904778,IMPORTED VODKA,Crystal Head Vodka,255,Wilson Daniels Ltd.,1750,3,1,,80,2010-05-20 00:00:00,,904778,$51.99,77.99,155.98
904779,MISC. AMERICAN CORDIALS & LIQUEURS,Bols Strawberry Liqueur,305,Mhw Ltd,1000,12,1,,440,2010-06-01 00:00:00,,10080900000000,$5.86,8.79,70.34
904780,IMPORTED VODKA,Three Olives Watermelon Vodka,395,Proximo,750,12,1,,70,2010-06-04 00:00:00,,10089700000000,$9.96,14.94,119.49
904781,MISCELLANEOUS SCHNAPPS,Mothers Schnapps Cherry,322,U.s. Distilled Prod. Co,750,12,1,,30,2010-06-11 00:00:00,84279979014,10084300000000,$4.50,6.75,53.94
904782,80 PROOF VODKA,Uv Vodka Pet,380,Phillips Beverage Company,1750,6,1,,80,2010-06-14 00:00:00,,,$10.58,15.87,63.50
904783,IMPORTED VODKA,Vesica Vodka,14,Adamba Imports Int'l Inc.,750,12,1,,80,2010-06-14 00:00:00,,10076800000000,$5.99,8.99,71.88
904784,SINGLE MALT SCOTCH,Glenlivet Cellar Collection 1973,370,Pernod Ricard Usa/austin Nichols,750,1,1,,98,2010-06-16 00:00:00,,,$625.00,937.50,625.00
904785,MISCELLANEOUS SCHNAPPS,Mothers Schnapps Peppermint,322,U.s. Distilled Prod. Co,750,12,1,,60,2010-06-11 00:00:00,,10084300000000,$4.50,6.75,53.94
