series,episode,baker,outcome,signature_handshake,technical,showstopper_handshake,signature_ingredients,showstopper_ingredients
3,10,Danny,NULL,NULL,NULL,NULL,NULL,NULL
3,10,James,RUNNERUP,No,1,No,NULL,NULL
3,10,John,WINNER,No,2,No,NULL,NULL
3,10,Manisha,NULL,NULL,NULL,NULL,NULL,NULL
3,10,Natasha,NULL,NULL,NULL,NULL,NULL,NULL
3,10,Peter,NULL,NULL,NULL,NULL,NULL,NULL
3,10,Ryan,NULL,NULL,NULL,NULL,NULL,NULL
3,10,Sarah-Jane,NULL,NULL,NULL,NULL,NULL,NULL
3,10,Stuart,NULL,NULL,NULL,NULL,NULL,NULL
3,10,Victoria,NULL,NULL,NULL,NULL,NULL,NULL
4,1,Ali,IN,No,11,No,NULL,NULL
4,1,Beca,IN,No,8,No,NULL,NULL
4,1,Christine,IN,No,3,No,NULL,NULL
4,1,Deborah,IN,No,9,No,NULL,NULL
4,1,Frances,IN,No,7,No,NULL,NULL
4,1,Glenn,IN,No,4,No,NULL,NULL
4,1,Howard,IN,No,6,No,NULL,NULL
4,1,Kimberley,IN,No,10,No,NULL,NULL
4,1,Lucy,IN,No,2,No,NULL,NULL
4,1,Mark,IN,No,5,No,NULL,NULL
4,1,Robert,STARBAKER,No,1,No,NULL,NULL
4,1,Ruby,IN,No,12,No,NULL,NULL
4,1,Toby,OUT,No,13,No,NULL,NULL
4,2,Ali,IN,No,9,No,NULL,NULL
4,2,Beca,IN,No,11,No,NULL,NULL
4,2,Christine,IN,No,4,No,NULL,NULL
4,2,Deborah,IN,No,8,No,NULL,NULL
4,2,Frances,IN,No,2,No,NULL,NULL
4,2,Glenn,IN,No,7,No,NULL,NULL
4,2,Howard,IN,No,10,No,NULL,NULL
4,2,Kimberley,IN,No,1,No,NULL,NULL
4,2,Lucy,OUT,No,12,No,NULL,NULL
4,2,Mark,IN,No,6,No,NULL,NULL
4,2,Robert,IN,No,5,No,NULL,NULL
4,2,Ruby,STARBAKER,No,3,No,NULL,NULL
4,2,Toby,NULL,NULL,NULL,NULL,NULL,NULL
4,3,Ali,IN,No,5,No,NULL,NULL
4,3,Beca,IN,No,10,No,NULL,NULL
4,3,Christine,STARBAKER,No,4,No,NULL,NULL
4,3,Deborah,OUT,No,9,No,NULL,NULL
4,3,Frances,IN,No,8,No,NULL,NULL
4,3,Glenn,IN,No,1,No,NULL,NULL
4,3,Howard,IN,No,7,No,NULL,NULL
4,3,Kimberley,IN,No,6,No,NULL,NULL
4,3,Lucy,NULL,NULL,NULL,NULL,NULL,NULL
